Supercluster,Cluster,ClusterGroup,Neuron,idid,Gene name,Driver,Sex,Raw score,Normalised score,,
XIX,95,10,fru-F-500075,10001,FruMARCM-F000584_seg002,fru-Gal4,F,16035.31,0.7,,
XIX,107,11,fru-M-600033,1407,FruMARCM-M000906_seg001,fru-Gal4,M,13393.73,1,,
XIX,107,11,fru-M-600090,880,FruMARCM-M002145_seg001,fru-Gal4,M,7942.91,0.56,,
XIX,107,11,fru-M-100122,1156,FruMARCM-M001346_seg003,fru-Gal4,M,8590.95,0.61,,
XIX,107,11,fru-M-500028,1949,FruMARCM-M000594_seg001,fru-Gal4,M,7777.61,0.62,,
XIX,107,11,Cha-F-000351,4384,ChaMARCM-F001437_seg001,Cha-Gal4,F,8292.16,0.6,,
XIX,107,11,fru-F-400196,4745,FruMARCM-F002067_seg001,fru-Gal4,F,7952.36,0.56,,
XIX,107,11,fru-F-500123,7796,FruMARCM-F000689_seg002,fru-Gal4,F,8067.69,0.62,,
XIX,107,11,fru-F-400092,7856,FruMARCM-F000765_seg001,fru-Gal4,F,7846.42,0.59,,
XIX,107,11,fru-F-600008,9774,FruMARCM-F000283_seg001,fru-Gal4,F,7831.82,0.55,,
XIX,107,11,fru-F-500053,9970,FruMARCM-F000561_seg001,fru-Gal4,F,6222.53,0.5,,
XIX,107,11,fru-F-200052,10011,FruMARCM-F000590_seg001,fru-Gal4,F,7526.61,0.54,,
XIX,107,11,fru-F-500083,10015,FruMARCM-F000604_seg001,fru-Gal4,F,7519.16,0.55,,
XIX,107,11,fru-F-400029,11495,FruMARCM-F000160_seg001,fru-Gal4,F,8091.74,0.61,,
XIX,186,11,TH-M-600001,3125,THMARCM-163M_seg1,TH-Gal4,M,24874.08,1,,
XIX,186,11,fru-M-400209,128,FruMARCM-M002324_seg001,fru-Gal4,M,12465.81,0.55,,
XIX,186,11,fru-M-500174,650,FruMARCM-M001861_seg001,fru-Gal4,M,14257.1,0.6,,
XIX,186,11,fru-M-400114,976,FruMARCM-M001150_seg001,fru-Gal4,M,12610.69,0.59,,
XIX,186,11,fru-M-500026,1946,FruMARCM-M000540_seg003,fru-Gal4,M,12455.14,0.59,,
XIX,186,11,Trh-M-400088,2770,TPHMARCM-1116M_seg1,Trh-Gal4,M,13173.88,0.59,,
XIX,186,11,TH-M-700018,3049,THMARCM-148M_seg1,TH-Gal4,M,15343.36,0.63,,
XIX,186,11,TH-M-700005,3108,THMARCM-121M_seg1,TH-Gal4,M,13168.03,0.61,,
XIX,186,11,TH-M-700009,3112,THMARCM-126M_seg1,TH-Gal4,M,13641.55,0.58,,
XIX,186,11,TH-M-700013,3115,THMARCM-129M_seg1,TH-Gal4,M,15232.84,0.66,,
XIX,186,11,TH-M-700014,3116,THMARCM-133M_seg1,TH-Gal4,M,13946.09,0.63,,
XIX,186,11,TH-M-600002,3133,THMARCM-173M_seg1,TH-Gal4,M,15045.24,0.64,,
XIX,186,11,TH-M-600003,3339,THMARCM-625M_seg,TH-Gal4,M,12170.51,0.55,,
XIX,186,11,fru-F-500263,3717,FruMARCM-F002212_seg001,fru-Gal4,F,14887.88,0.64,,
XIX,186,11,fru-F-500235,4710,FruMARCM-F002038_seg001,fru-Gal4,F,15629.79,0.65,,
XIX,186,11,fru-F-600114,4713,FruMARCM-F002041_seg001,fru-Gal4,F,14661.65,0.62,,
